isin,wkn,name,fundProvider,quote,quote52Low,quote52High,ytdReturnCUR,fees,yearVolatilityCUR,fundCurrency,threeMonthReturnCUR,monthReturnCUR,sixMonthReturnCUR,inceptionDate,ticker,yearReturnCUR,domicileCountry,weekReturnCUR,yearReturn1CUR,quoteDate,currencyRisk,UCITSCompliance,securitiesLending
LU1737652823,A2H9Q1,Amundi Index FTSE EPRA NAREIT Global UCITS ETF DR EUR (D),Amundi ETF,48.71,48.71,65.48,-0.0201,0.0024,0.1775,EUR,-0.0095,-0.0826,-0.0955,2/6/2018,10AJ,-0.1983,Luxembourg,-0.0117,-0.2033,3/21/2023,Currency unhedged,Yes,Yes
IE00B5L01S80,A1JCM0,HSBC FTSE EPRA NAREIT Developed UCITS ETF USD,HSBC ETF,18.57,18.38,24.81,-0.0247,0.0024,0.2031,USD,-0.017,-0.0878,-0.0988,6/20/2011,H4ZL,-0.2022,Ireland,-0.0176,-0.2044,3/21/2023,Currency unhedged,Yes,Yes
IE000G6GSP88,A3DN5P,HSBC FTSE EPRA NAREIT Developed UCITS ETF USD (Acc),HSBC ETF,20.61,20.61,25.83,-0.0209,0.0024,,USD,-0.0129,-0.0839,-0.0947,7/19/2022,H4Z7,,Ireland,-0.0134,,3/21/2023,Currency unhedged,Yes,Yes
LU1832418773,LYX0Y2,Lyxor FTSE EPRA/NAREIT Global Developed UCITS ETF - Dist (EUR),Lyxor ETF,37.55,37.55,51.13,-0.0236,0.0045,0.178,EUR,-0.0131,-0.085,-0.0995,1/11/2010,LMWE,-0.2031,Luxembourg,-0.0128,-0.2065,3/21/2023,Currency unhedged,Yes,No
LU1812091350,LYX0Y1,Lyxor FTSE EPRA/NAREIT Global Developed UCITS ETF - Dist (USD),Lyxor ETF,15.13,15.13,20.53,-0.0201,0.0045,0.2007,USD,-0.0283,-0.0858,-0.1215,2/17/2010,LMWU,-0.1964,Luxembourg,-0.0143,-0.2095,3/17/2023,Currency unhedged,Yes,No
IE00B1FZS244,A0LEQL,iShares Asia Property Yield UCITS ETF,iShares,20.25,20.1,24.03,-0.0332,0.0059,0.1246,USD,-0.0199,-0.036,-0.0899,10/20/2006,IQQ4,-0.0965,Ireland,-0.0117,-0.0689,3/21/2023,Currency unhedged,Yes,Yes
IE00BGDPWV87,A2N8RP,iShares Asia Property Yield UCITS ETF USD (Acc),iShares,4.39,4.28,5.07,-0.0329,0.0059,0.1259,USD,-0.02,-0.035,-0.0888,12/12/2018,AYEP,-0.0963,Ireland,-0.0112,-0.0713,3/21/2023,Currency unhedged,Yes,Yes
IE00B1FZS350,A0LEW8,iShares Developed Markets Property Yield UCITS ETF,iShares,20.11,20.11,26.9,-0.0255,0.0059,0.192,USD,-0.017,-0.0833,-0.1026,10/20/2006,IQQ6,-0.1986,Ireland,-0.0161,-0.1963,3/21/2023,Currency unhedged,Yes,Yes
IE00BFM6T921,A2JKTX,iShares Developed Markets Property Yield UCITS ETF USD (Acc),iShares,4.61,4.61,5.94,-0.0212,0.0059,0.1963,USD,-0.0128,-0.0778,-0.0977,5/10/2018,SXRA,-0.1951,Ireland,-0.0107,-0.1959,3/21/2023,Currency unhedged,Yes,Yes
IE00BDZVHD04,A2JDYL,iShares Developed Markets Property Yield UCITS ETF EUR Hedged (Acc),iShares,5.05,4.86,6.7,-0.0251,0.0064,0.2105,EUR Hedged,-0.0156,-0.082,-0.0684,3/5/2018,OM3D,-0.2234,Ireland,-0.0195,-0.2397,3/21/2023,Currency hedged,Yes,Yes
LU1812091194,LYX0Y0,Amundi FTSE EPRA Europe Real Estate UCITS ETF (D),Amundi ETF,27.49,24.62,45.59,-0.0226,0.003,0.2957,EUR,0.0054,-0.1061,-0.0422,1/11/2010,LEEU,-0.3709,Luxembourg,-0.0107,-0.3859,3/21/2023,Currency unhedged,Yes,No
LU1681039480,A2H58A,Amundi FTSE EPRA Europe Real Estate UCITS ETF EUR (C),Amundi ETF,269.05,243.67,426.71,-0.0222,0.0035,0.285,EUR,0.0056,-0.1059,-0.0518,1/31/2018,REAL,-0.3596,Luxembourg,-0.0105,-0.3716,3/21/2023,Currency unhedged,Yes,No
LU1291091228,A2ACQZ,BNP Paribas Easy FTSE EPRA/NAREIT Developed Europe UCITS ETF QD,BNP Paribas Easy,6.59,6.01,10.67,-0.0238,0.0042,0.2836,EUR,0.0041,-0.1063,-0.0529,2/5/2016,EEP,-0.3585,Luxembourg,-0.0119,-0.3695,3/21/2023,Currency unhedged,Yes,No
IE00BGDQ0L74,A2N8FS,iShares European Property Yield UCITS ETF EUR (Acc),iShares,3.6,3.25,5.68,-0.0295,0.004,0.2887,EUR,0.0056,-0.1149,-0.0347,12/12/2018,IPRE,-0.3693,Ireland,-0.019,-0.3763,3/21/2023,Currency unhedged,Yes,Yes
LU0489337690,DBX0F1,Xtrackers FTSE EPRA/NAREIT Developed Europe Real Estate UCITS ETF 1C,Xtrackers,19.7,17.77,31.02,-0.0193,0.0033,0.2839,EUR,0.0091,-0.1026,-0.0479,3/25/2010,D5BK,-0.355,Luxembourg,-0.009,-0.369,3/21/2023,Currency unhedged,Yes,Yes
LU1859445063,A2N7XZ,BNP Paribas Easy FTSE EPRA/NAREIT Developed Europe UCITS ETF QD EUR Hedged,BNP Paribas Easy,6.69,6.07,10.54,-0.0292,0.0042,0.2745,EUR Hedged,0.0026,-0.1112,-0.0497,9/25/2018,ZSRL,-0.3474,Luxembourg,-0.0176,-0.3547,3/21/2023,Currency hedged,Yes,No
IE00BSJCQV56,A14P7G,SPDR FTSE EPRA Europe ex UK Real Estate UCITS ETF,SPDR ETF,22.32,20.04,35.14,-0.0324,0.003,0.2982,EUR,0.0031,-0.1177,-0.0332,8/10/2015,ZPRP,-0.3654,Ireland,-0.021,-0.3699,3/21/2023,Currency unhedged,Yes,No
IE00BP8FKB21,A118P8,Xtrackers FTSE Developed Europe Ex UK Property UCITS ETF 1C,Xtrackers,43.82,39.08,67.5,-0.0285,0.0033,0.2949,EUR,0.0066,-0.1125,-0.0251,8/27/2014,XREA,-0.3486,Ireland,-0.0201,-0.3546,3/21/2023,Currency unhedged,Yes,Yes
IE00B0M63284,A0HGV5,iShares European Property Yield UCITS ETF,iShares,25.01,22.65,40.97,-0.0328,0.004,0.2889,EUR,0.0032,-0.1187,-0.0383,11/4/2005,IQQP,-0.3704,Ireland,-0.0226,-0.3759,3/21/2023,Currency unhedged,Yes,Yes
LU0950381748,A1W15E,BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF,BNP Paribas Easy,7.25,6.37,10.67,-0.0014,0.004,0.283,EUR,0.0042,-0.0994,-0.0753,7/8/2013,EEAA,-0.3102,Luxembourg,-0.0346,-0.3259,3/16/2023,Currency unhedged,Yes,No
LU0192223062,A0ERY9,BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF QD,BNP Paribas Easy,6.14,5.41,9.28,-0.0018,0.004,0.2826,EUR,0.0048,-0.0997,-0.0752,7/8/2004,IM2A,-0.3099,Luxembourg,-0.0346,-0.3256,3/16/2023,Currency unhedged,Yes,No
IE00B1TXLS18,A0MZWN,iShares UK Property UCITS ETF,iShares,5.04,4.56,7.99,0.0036,0.004,0.2849,GBP,0.0157,-0.0769,-0.0791,3/16/2007,2B7U,-0.3271,Ireland,0.01,-0.3567,3/21/2023,Currency unhedged,Yes,Yes
IE000FI414K7,A3DLEF,iShares UK Property UCITS ETF EUR Hedged (Acc),iShares,3.78,3.39,5.11,-0.0156,0.0042,,EUR Hedged,0.008,-0.0935,-0.0825,5/18/2022,UKPH,,Ireland,0,,3/21/2023,Currency hedged,Yes,Yes
IE00B1FZSF77,A0LEW6,iShares US Property Yield UCITS ETF,iShares,24.22,24.22,33.22,-0.0239,0.004,0.2541,USD,-0.0208,-0.0972,-0.1175,11/3/2006,IQQ7,-0.1917,Ireland,-0.0178,-0.1984,3/21/2023,Currency unhedged,Yes,Yes
LU2468423459,DBX0SK,Xtrackers II ESG Eurozone Government Bond UCITS ETF 1C,Xtrackers,26.2,25.25,29.07,0.0368,0.0015,,EUR,0.0154,0.0256,-0.0071,6/22/2022,XZEB,,Luxembourg,0.013,,3/21/2023,Currency unhedged,Yes,No
LU2462217071,DBX0SH,Xtrackers II ESG Global Government Bond UCITS ETF 1C,Xtrackers,8.28,8.03,9.25,0.0333,0.002,,EUR,0.0158,0.027,-0.0233,6/15/2022,XGVC,,Luxembourg,0.0121,,3/21/2023,Currency unhedged,Yes,No
LU2385068163,DBX0RH,Xtrackers II ESG Global Government Bond UCITS ETF 1D,Xtrackers,5.98,5.8,6.83,0.0333,0.002,0.0864,EUR,0.016,0.0255,-0.0242,12/7/2021,XZWG,-0.109,Luxembourg,0.0117,-0.168,3/21/2023,Currency unhedged,Yes,No
LU2385068593,DBX0RT,Xtrackers II ESG Global Government Bond UCITS ETF 4D EUR Hedged,Xtrackers,6,5.79,6.78,0.0331,0.0025,0.0788,EUR Hedged,0.0175,0.0255,0.0044,12/7/2021,XZEG,-0.1044,Luxembourg,0.0084,-0.1731,3/21/2023,Currency hedged,Yes,No
LU0613540268,DBX0HH,Xtrackers II Italy Government Bond 0-1 Swap UCITS ETF 1C,Xtrackers,31.17,30.91,31.19,0.0048,0.0015,0.0045,EUR,0.0058,0.0032,0.0081,1/12/2012,XBO2,-0.0003,Luxembourg,0.001,-0.0064,3/21/2023,Currency unhedged,Yes,No
FR0010754200,A0RNWC,Amundi ETF Govies 0-6 Months Euro Investment Grade UCITS ETF EUR (C),Amundi ETF,115.85,115.09,115.85,0.0042,0.0014,0.0021,EUR,0.0048,0.0025,0.0064,6/29/2009,18M1,0.0014,France,0.0006,-0.0046,3/21/2023,Currency unhedged,Yes,No
IE00B3BPCH51,A0RAC9,Invesco Euro Cash 3 Months UCITS ETF Acc,Invesco,99.46,98.85,99.46,0.0037,0.0015,0.0019,EUR,0.0043,0.0021,0.006,10/8/2008,PJEU,0.0011,Ireland,0.0005,-0.0043,3/21/2023,Currency unhedged,Yes,No
LU1681046261,A2H57U,Amundi Government Bond Euro Broad Investment Grade UCITS ETF EUR (C),Amundi ETF,208.05,200.61,236.44,0.0403,0.0014,0.0964,EUR,0.0213,0.0254,0.0031,4/5/2018,CB3G,-0.1174,Luxembourg,0.0144,-0.1874,3/21/2023,Currency unhedged,Yes,Yes
FR0010754135,A0RNV6,Amundi ETF Government Bond Euro Broad Investment Grade 1-3 UCITS ETF EUR (C),Amundi ETF,160.03,157.62,165.74,0.0137,0.0014,0.0266,EUR,0.0106,0.0123,0.0036,6/29/2009,18MX,-0.0323,France,0.0075,-0.0514,3/21/2023,Currency unhedged,Yes,No
FR0010754143,A0RNWA,Amundi ETF Government Bond Euro Broad Investment Grade 10-15 UCITS ETF DR EUR (C),Amundi ETF,245.05,233.24,291.71,0.0624,0.0014,0.1384,EUR,0.0343,0.0331,0.0068,6/29/2009,18MW,-0.1568,France,0.0176,-0.255,3/21/2023,Currency unhedged,Yes,No
FR0010754168,A0RNV7,Amundi ETF Government Bond Euro Broad Investment Grade 3-5 UCITS ETF EUR (C),Amundi ETF,185.86,181.29,198.88,0.0235,0.0014,0.0557,EUR,0.0163,0.0187,0.0043,6/29/2009,18MY,-0.0622,France,0.0113,-0.1011,3/21/2023,Currency unhedged,Yes,No
FR0010754176,A0RNV8,Amundi ETF Government Bond Euro Broad Investment Grade 5-7 UCITS ETF EUR (C),Amundi ETF,212.45,205.73,233.66,0.0346,0.0014,0.0795,EUR,0.0229,0.024,0.0071,6/29/2009,18MZ,-0.0868,France,0.0135,-0.1455,3/21/2023,Currency unhedged,Yes,No
FR0010754184,A0RNV9,Amundi ETF Government Bond Euro Broad Investment Grade 7-10 UCITS ETF EUR (C),Amundi ETF,231.07,222,262.89,0.049,0.0014,0.1089,EUR,0.03,0.0288,0.008,6/29/2009,18M0,-0.1169,France,0.0157,-0.1961,3/21/2023,Currency unhedged,Yes,No
IE00BYZ28V50,A2H5EV,iShares Global Government Bond UCITS ETF (Acc),iShares,4.27,4.13,4.65,0.0385,0.002,0.1247,USD,0.0189,0.0335,-0.0159,10/19/2017,2B7H,-0.071,Ireland,0.0141,-0.1315,3/21/2023,Currency unhedged,Yes,Yes
IE00B3F81K65,A0RGEM,iShares Global Government Bond UCITS ETF USD (Dist),iShares,86.93,84.33,95.63,0.0326,0.002,0.1225,USD,0.0135,0.0277,-0.0218,3/6/2009,EUN3,-0.0761,Ireland,0.0094,-0.1282,3/21/2023,Currency unhedged,Yes,Yes
IE00BKT6FT27,A2PRG2,iShares Global Government Bond UCITS ETF EUR Hedged (Dist),iShares,4.26,4.08,4.65,0.035,0.0025,0.1228,EUR Hedged,0.0106,0.024,-0.0059,9/26/2019,AYEK,-0.0849,Ireland,0.0119,-0.1495,3/17/2023,Currency hedged,Yes,Yes
IE00BG143G97,A2JF6S,Vanguard Germany All Cap UCITS ETF Distributing,Vanguard,24.36,19.3,25.77,0.0748,0.001,0.2004,EUR,0.0796,-0.0468,0.1704,7/17/2018,VGER,-0.0175,Ireland,-0.0051,-0.1757,3/21/2023,Currency unhedged,Yes,Yes
IE00BNG8L278,A2QL8U,Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,Vanguard,4.29,4.09,4.84,0.029,0.0024,0.1937,USD,0.0265,-0.0448,-0.0274,3/23/2021,V3AA,-0.0994,Ireland,0.0119,-0.1753,3/21/2023,Currency unhedged,Yes,Yes
IE00BNG8L385,A2QL8V,Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,Vanguard,4.16,3.99,4.78,0.028,0.0024,0.1898,USD,0.0254,-0.0454,-0.029,3/23/2021,V3AL,-0.1,Ireland,0.0104,-0.1754,3/21/2023,Currency unhedged,Yes,Yes
IE00B1FZS467,A0LEW9,iShares Global Infrastructure UCITS ETF,iShares,27.53,27.53,34.13,-0.0392,0.0065,0.1791,USD,-0.0368,-0.029,-0.1204,10/20/2006,IQQI,-0.0679,Ireland,0.0069,-0.0097,3/21/2023,Currency unhedged,Yes,Yes
IE000CK5G8J7,A3D6N1,iShares Global Infrastructure UCITS ETF USD (Acc),iShares,4.59,4.59,4.74,,0.0065,,USD,,,,2/23/2023,CBUX,,Ireland,0.0087,,3/21/2023,Currency unhedged,Yes,Yes
IE00BJSBCS90,A2PPCG,Goldman Sachs Access China Government Bond UCITS ETF USD (Dist),Goldman Sachs,49.3,48.68,54.76,0.0134,0.0024,0.0854,USD,0.0122,-0.0001,-0.044,10/22/2019,GASF,-0.0182,Ireland,0.0049,0.0034,3/21/2023,Currency unhedged,Yes,No
LU1681046691,A2H58G,Amundi Government Bond Highest Rated Euro Investment Grade UCITS ETF EUR (C),Amundi ETF,198.2,190.97,227.36,0.0377,0.0014,0.0973,EUR,0.0161,0.0265,-0.0054,2/27/2018,DE5A,-0.1252,Luxembourg,0.0136,-0.1931,3/21/2023,Currency unhedged,Yes,Yes
IE00BHZRQZ17,A2PB5W,Franklin FTSE India UCITS ETF,Franklin Templeton,27.91,27.91,34.14,-0.0745,0.0019,0.1511,USD,-0.0945,-0.04,-0.1666,6/25/2019,FLXI,-0.0928,Ireland,-0.0137,-0.0219,3/21/2023,Currency unhedged,Yes,No
IE00BFMXYX26,A2PLS8,Vanguard FTSE Japan UCITS ETF Accumulating,Vanguard,24.66,22.77,26.15,0.0283,0.0015,0.1905,USD,0.0098,-0.0108,0.0241,9/24/2019,VJPA,-0.0333,Ireland,-0.0144,-0.1069,3/21/2023,Currency unhedged,Yes,Yes
IE00B95PGT31,A1T8FU,Vanguard FTSE Japan UCITS ETF Distributing,Vanguard,27.81,26.09,30.28,0.0241,0.0015,0.1895,USD,0.0056,-0.0147,0.0199,5/21/2013,VJPN,-0.0372,Ireland,-0.0185,-0.1069,3/21/2023,Currency unhedged,Yes,Yes
IE00BFMXYY33,A2PL2G,Vanguard FTSE Japan UCITS ETF EUR Hedged Accumulating,Vanguard,30.39,28.1,32.23,0.0283,0.002,0.1742,EUR Hedged,0.0175,-0.0302,0.0043,1/31/2020,VJPE,0.0314,Ireland,-0.0321,-0.0465,3/21/2023,Currency hedged,Yes,Yes
IE00BKY55S33,A2PXVN,HSBC Japan Sustainable Equity UCITS ETF USD,HSBC ETF,12.71,11.82,13.48,0.025,0.0018,0.1933,USD,0.0063,-0.0101,0.0258,6/4/2020,XU8Z,-0.0275,Ireland,-0.0124,-0.0994,3/21/2023,Currency unhedged,Yes,No
LU0952581584,DBX0N3,Xtrackers Japan Government Bond UCITS ETF 1C,Xtrackers,9.38,8.84,10.42,0.0327,0.0015,0.1325,JPY,0.0238,0.0487,0.0194,11/15/2013,XJSE,-0.0911,Luxembourg,0.0194,-0.1437,3/21/2023,Currency unhedged,Yes,Yes
IE00BHZRR030,A2PB5X,Franklin FTSE Korea UCITS ETF,Franklin Templeton,27.41,24.43,32.75,0.037,0.0009,0.2369,USD,0.0174,-0.0455,0.025,6/4/2019,FLXK,-0.158,Ireland,-0.014,-0.2431,3/21/2023,Currency unhedged,Yes,No
LU1681046857,A2H58F,Amundi ETF Government Bond Lowest Rated Euro Investment Grade UCITS ETF EUR (D),Amundi ETF,190.91,184.12,220.98,0.0421,0.0014,0.0972,EUR,0.0244,0.0257,0.0077,4/5/2018,X1GD,-0.1128,Luxembourg,0.0158,-0.1858,3/21/2023,Currency unhedged,Yes,Yes
LU1681046774,A2H58E,Amundi Government Bond Lowest Rated Euro Investment Grade UCITS ETF EUR (C),Amundi ETF,213.68,206.08,241.67,0.0418,0.0014,0.0972,EUR,0.0241,0.0254,0.0074,4/5/2018,KX1G,-0.1131,Luxembourg,0.0155,-0.1858,3/21/2023,Currency unhedged,Yes,Yes
LU1681046345,A2H584,Amundi Government Bond Lowest Rated Euro Investment Grade 1-3 UCITS ETF DR EUR (C),Amundi ETF,109.77,108.14,113.34,0.0146,0.0014,0.0271,EUR,0.0116,0.0124,0.005,4/5/2018,X13G,-0.0299,Luxembourg,0.0073,-0.0504,3/21/2023,Currency unhedged,Yes,Yes
LU1681037518,A2H561,Amundi ETF FTSE MIB UCITS ETF,Amundi ETF,54.54,42.91,60.07,0.0772,0.0018,0.2135,EUR,0.0798,-0.0869,0.1679,1/31/2018,X13H,0.0941,Luxembourg,-0.0699,-0.1012,3/17/2023,Currency unhedged,Yes,Yes
IE00B53L4X51,A0YEDP,iShares FTSE MIB UCITS ETF (Acc),iShares,112.11,84.95,117.85,0.0985,0.0033,0.2134,EUR,0.098,-0.0603,0.2033,1/26/2010,SXRY,0.1168,Ireland,-0.0095,-0.098,3/21/2023,Currency unhedged,Yes,Yes
IE00B1XNH568,A0MZWP,iShares FTSE MIB UCITS ETF EUR (Dist),iShares,16.07,12.31,16.73,0.0948,0.0035,0.2105,EUR,0.0948,-0.063,0.1994,7/6/2007,2B7V,0.1133,Ireland,-0.0128,-0.0939,3/21/2023,Currency unhedged,Yes,Yes
FR0010010827,A0BLNG,Lyxor FTSE MIB UCITS ETF - Dist,Lyxor ETF,26.07,19.78,27.17,0.095,0.0035,0.2363,EUR,0.0945,-0.0634,0.1993,11/3/2003,LYMK,0.113,France,-0.0126,-0.0945,3/21/2023,Currency unhedged,Yes,No
LU0274212538,DBX1MB,Xtrackers FTSE MIB UCITS ETF 1D,Xtrackers,25.75,19.71,27.08,0.0981,0.003,0.2123,EUR,0.0976,-0.0606,0.2028,1/4/2007,DBXI,0.1158,Luxembourg,-0.0099,-0.0984,3/21/2023,Currency unhedged,Yes,Yes
IE00BK5BQW10,A2PLBJ,Vanguard FTSE North America UCITS ETF (USD) Accumulating,Vanguard,89.29,84.08,102.29,0.0273,0.001,0.2409,USD,0.0262,-0.0371,-0.0416,7/23/2019,VNRA,-0.0865,Ireland,0.0228,-0.1426,3/21/2023,Currency unhedged,Yes,Yes
IE00BKX55R35,A12CXY,Vanguard FTSE North America UCITS ETF Distributing,Vanguard,89.65,85.34,103.82,0.023,0.001,0.2405,USD,0.0219,-0.041,-0.0456,9/30/2014,VNRT,-0.0903,Ireland,0.0186,-0.1426,3/21/2023,Currency unhedged,Yes,Yes
IE000O58J820,A3DJRE,Vanguard ESG North America All Cap UCITS ETF (USD) Accumulating,Vanguard,4.25,4.01,4.94,0.0369,0.0012,,USD,0.0343,-0.0452,-0.0495,8/16/2022,V3YA,,Ireland,0.0218,,3/21/2023,Currency unhedged,Yes,No
IE000L2ZNB07,A3DJRF,Vanguard ESG North America All Cap UCITS ETF (USD) Distributing,Vanguard,4.22,4,4.94,0.0378,0.0012,,USD,0.0327,-0.0447,-0.0483,8/16/2022,V3YL,,Ireland,0.0227,,3/21/2023,Currency unhedged,Yes,No
IE00B23LNQ02,A0M2EN,Invesco FTSE RAFI All World 3000 UCITS ETF,Invesco,21.2,20.42,23.25,-0.0094,0.0039,0.158,USD,-0.0066,-0.0686,-0.0125,12/3/2007,PSWD,-0.0471,Ireland,-0.0108,-0.0307,3/21/2023,Currency unhedged,Yes,No
IE00B23D9570,A0M2EK,Invesco FTSE RAFI Emerging Markets UCITS ETF,Invesco,7.06,6.81,8.24,-0.0084,0.0049,0.1492,USD,-0.0014,-0.0561,-0.0448,11/19/2007,6PSK,-0.0554,Ireland,-0.0194,-0.0897,3/21/2023,Currency unhedged,Yes,No
IE00B23D8X81,A0M2EC,Invesco FTSE RAFI Europe UCITS ETF,Invesco,10.32,8.8,11,0.0253,0.0039,0.1666,EUR,0.0294,-0.0714,0.086,11/19/2007,6PSC,0.0153,Ireland,-0.0241,-0.0402,3/21/2023,Currency unhedged,Yes,No
IE00B23D8S39,A0M2EA,Invesco FTSE RAFI US 1000 UCITS ETF,Invesco,23.47,22.74,26.96,-0.0349,0.0039,0.213,USD,-0.0292,-0.0788,-0.0576,11/12/2007,6PSA,-0.0763,Ireland,-0.003,-0.0231,3/21/2023,Currency unhedged,Yes,No
IE000CM02H85,A3C9A1,Franklin FTSE Taiwan UCITS ETF,Franklin Templeton,20.31,16.81,23.48,0.0978,0.0019,,USD,0.0836,-0.0194,0.0192,3/21/2022,FLXT,,Ireland,-0.001,,3/21/2023,Currency unhedged,Yes,No
IE00BD0Q9673,A2AN8T,Invesco US High Yield Fallen Angels UCITS ETF Dist,Invesco,19.28,19.28,22.39,-0.0192,0.0045,0.1066,USD,-0.032,-0.0344,-0.077,9/1/2016,FAHY,-0.0738,Ireland,-0.0177,-0.0852,3/21/2023,Currency unhedged,Yes,No
IE00BYVTMZ20,A2DT9W,Invesco US High Yield Fallen Angels UCITS ETF EUR Hedged Acc,Invesco,23.33,22.68,26.36,-0.0051,0.005,0.1202,EUR Hedged,-0.0165,-0.0182,-0.0115,10/17/2017,FAEU,-0.1163,Ireland,-0.0043,-0.166,3/21/2023,Currency hedged,Yes,No
IE00B0M63060,A0HGV6,iShares UK Dividend UCITS ETF,iShares,7.9,6.91,9.44,0.0026,0.004,0.1861,GBP,0.0038,-0.0753,0.0285,11/4/2005,IQQD,-0.0809,Ireland,-0.0126,-0.0696,3/21/2023,Currency unhedged,Yes,Yes
IE00BM97MR69,A2P7TP,Xtrackers US Treasuries Ultrashort Bond UCITS ETF 1C,Xtrackers,50.69,48.06,56.03,0.0059,0.0007,0.104,USD,0.0006,0.0016,-0.0494,9/3/2020,XT01,0.049,Ireland,0,0.0717,3/21/2023,Currency unhedged,Yes,Yes
IE00BKY40J65,A2PXVQ,HSBC USA Sustainable Equity UCITS ETF USD,HSBC ETF,20.07,19.1,22.69,0.0137,0.0012,0.2368,USD,0.0163,-0.031,-0.0329,6/4/2020,H412,-0.0741,Ireland,0.0158,-0.1232,3/21/2023,Currency unhedged,Yes,No
LU0322252924,DBX1AG,Xtrackers FTSE Vietnam Swap UCITS ETF 1C,Xtrackers,23.65,21.72,40.75,-0.0113,0.0085,0.2853,USD,-0.0371,-0.0612,-0.2911,1/15/2008,DXS7,-0.397,Luxembourg,-0.0264,-0.4235,3/21/2023,Currency unhedged,Yes,No
IE00BKRWN659,A2PSPZ,iShares USD Development Bank Bonds UCITS ETF USD (Acc),iShares,4.53,4.43,4.97,0.0223,0.0015,0.1176,USD,0.0088,0.02,-0.0438,12/6/2019,36BD,0.0066,Ireland,0.0066,-0.0197,3/21/2023,Currency unhedged,Yes,No
IE00BMCZLH06,A2QA0V,iShares USD Development Bank Bonds UCITS ETF EUR Hedged (Acc),iShares,4.46,4.29,4.68,0.0205,0.0018,0.115,EUR Hedged,0.009,0.0182,0.009,8/19/2020,UEEG,-0.0508,Ireland,0.0045,-0.0967,3/21/2023,Currency hedged,Yes,No
LU0908508731,DBX0NM,Xtrackers Global Government Bond UCITS ETF 5C,Xtrackers,225.08,218.87,245.91,0.033,0.002,0.084,EUR,0.0167,0.0266,-0.0197,8/14/2013,XG7S,-0.0789,Luxembourg,0.012,-0.1349,3/21/2023,Currency unhedged,Yes,Yes
LU0690964092,DBX0MF,Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,Xtrackers,182.39,176.56,205.46,0.0331,0.0025,0.0661,EUR Hedged,0.0194,0.0252,0.006,11/22/2011,XGVD,-0.0866,Luxembourg,0.0087,-0.1534,3/21/2023,Currency hedged,Yes,Yes
LU0378818131,DBX0A8,Xtrackers II Global Government Bond UCITS ETF 1C EUR Hedged,Xtrackers,206.05,198.8,225.35,0.0329,0.0025,0.0661,EUR Hedged,0.0192,0.025,0.0059,10/20/2008,DBZB,-0.0868,Luxembourg,0.0085,-0.1534,3/21/2023,Currency hedged,Yes,Yes
FR0013416716,A2UJK0,Amundi Physical Gold ETC (C),Amundi ETF,72.1,65.61,73.45,0.0827,0.0012,0.118,USD,0.0806,0.0701,0.107,5/21/2019,GLDA,0.0565,Ireland,0.0404,0.0697,3/21/2023,Currency unhedged,No,No
DE000TMG0LD6,TMG0LD,boerse.de Gold ETC,Boerse Stuttgart,183.25,168.77,186.78,0.0704,0,0.1101,EUR,0.0717,0.0696,0.0878,5/17/2021,TMGD,0.0461,Germany,0.0362,0.0661,3/21/2023,Currency unhedged,No,No
DE000EWG0LD1,EWG0LD,EUWAX Gold,Boerse Stuttgart,58.75,53.49,59.39,0.0806,0,0.1227,EUR,0.0806,0.072,0.1023,8/15/2012,GOLD,0.0474,Germany,0.0396,0.0618,3/21/2023,Currency unhedged,No,No
DE000EWG2LD7,EWG2LD,EUWAX Gold II,Boerse Stuttgart,58.38,54.08,60.03,0.0666,0,0.1469,EUR,0.0633,0.0748,0.0882,10/9/2017,EWG2,0.0376,Germany,0.0374,0.0656,3/21/2023,Currency unhedged,No,No
GB00B00FHZ82,A0CANA,Gold Bullion Securities,WisdomTree,168.61,152.62,171.63,0.0861,0.004,0.149,USD,0.0825,0.0721,0.1099,3/31/2004,GG9B,0.0528,Jersey,0.0405,0.0577,3/21/2023,Currency unhedged,No,No
XS2115336336,A279KU,HANetf The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,18.08,16.39,18.42,0.0861,0.0022,0.1479,USD,0.0823,0.0728,0.111,2/12/2020,RM8U,0.0544,Ireland,0.0413,0.06,3/21/2023,Currency unhedged,No,No
IE00B579F325,A1AA5X,Invesco Physical Gold A,Invesco,175.93,159.11,179.12,0.0866,0.0012,0.1479,USD,0.083,0.0724,0.1117,6/25/2009,8PSG,0.0559,Ireland,0.041,0.061,3/21/2023,Currency unhedged,No,No
IE00B4ND3602,A1KWPQ,iShares Physical Gold ETC,iShares,35.3,32.13,35.96,0.0831,0.0015,0.1189,USD,0.0805,0.0677,0.1071,4/8/2011,PPFB,0.0542,Ireland,0.0402,0.0703,3/21/2023,Currency unhedged,No,No
JE00BN2CJ301,A3GNFN,WisdomTree Core Physical Gold,WisdomTree,182.47,164.13,183.6,0.081,0.0012,0.1227,USD,0.077,0.0648,0.1017,11/30/2020,WGLD,0.0533,Jersey,0.0396,0.0593,3/21/2023,Currency unhedged,No,No
